teacher_id,student_id
40,2147
200,12180
294,13688
330,13773
1311,8455
1616,11437
1696,2203
1817,13688
2060,12980
2069,12743
2162,6230
2203,6735
2246,13683
2328,2442
2418,276
2418,13120
2419,7613
2419,10386
2483,8730
2484,7881
2491,3266
2541,13685
2570,4086
2653,12180
2653,13841
2661,1659
2662,13838
2670,4086
2670,4935
2673,8181
2673,13861
2730,9278
2730,10355
2733,8455
2740,10298
2758,1902
2768,8454
2776,8455
2784,12980
2788,7882
2790,4935
2799,7373
2799,13462
2801,4086
2810,6010
2812,4935
2845,3266
2845,3936
2845,13870
2939,13652
2940,3955
2944,12171
2953,2945
2953,8128
2953,8691
2953,10457
2953,13890
2959,40
2985,9764
2992,150
2992,151
2992,152
2992,154
2992,157
2992,158
3000,3004
3004,3014
3004,4465
3004,8134
3004,12875
3005,3004
3020,3436
3152,12479
3152,13843
3204,8454
3266,13870
3307,2541
3307,4310
3307,12479
3307,13812
3307,13823
3307,13857
3417,1287
3417,1654
3417,4935
3417,7767
3417,9201
3417,10298
3436,3627
3436,3630
3436,10617
3633,3485
3780,9278
3790,7007
3790,11437
3819,8454
3819,8455
3822,2541
3822,2758
3822,7882
3822,13510
3857,5894
3891,2521
3908,13821
3955,12439
3955,13598
3955,13693
3955,13694
3989,3955
3989,8156
3989,11437
3989,13666
4022,2758
4066,1902
4086,8986
4086,13244
4185,2541
4185,13850
4228,8507
4228,9594
4228,10355
4228,13692
4228,13699
4273,7009
4273,13648
4291,8
4291,8181
4291,9594
4291,12553
4291,13677
4291,13692
4291,13699
4291,13747
4291,13796
4309,2419
4309,11437
4309,11798
4309,12479
4310,12479
4310,12613
4358,8
4358,8181
4358,8592
4358,12553
4358,13692
4358,13699
4413,9083
4413,13806
4425,9594
4425,13692
4440,13686
4440,13749
4642,2424
4676,3436
4676,13187
4691,3436
4691,13187
4820,9278
4820,10209
4820,13248
4820,13654
4820,13670
4864,6194
4865,6194
4866,6194
4868,6194
5024,9278
5164,3436
5391,8454
5413,8454
5457,13187
5479,4611
5644,5648
5728,6076
5729,5902
5864,12745
5864,13796
5894,8906
5894,13693
5894,13694
5897,3955
5927,13837
6076,5720
6076,5731
6096,13884
6110,7881
6194,3181
6194,10865
6198,7881
6209,4086
6351,3004
6405,8455
6535,7881
6676,6194
6681,13888
7007,2419
7007,8641
7007,8825
7007,11437
7007,12387
7032,10019
7033,13821
7033,13824
7122,3955
7122,5894
7130,1659
