community_id,lat,long,map_priority_level_id,map_display_name,map_display_name_script
172,27.714962,85.290337,2,Swayambhunath,འཕགས་པ་ཤིང་ཀུན།
173,27.721485,85.361975,2,Boudhanath,བྱ་རུང་ཁ་ཤོར།
174,32.35128,97.25192,4,Zurmang Dutsitil,ཟུར་མང་བདུད་རྩི་མཐིལ།
178,33.264290,96.972114,2,Tarlam,ཐར་ལམ།
179,,,5,Dezhung Monastery,སྡེ་གཞུང་དགོན།
180,31.64298,98.96288,2,Dzongsar,རྫོང་སར།
181,32.48333,98.01667,2,Longtang Dolma,ཀློང་ཐང་སྒྲོལ་མ།
183,29.184024,89.911855,5,Rong Ngurmik,རོང་ངུར་སྨིག།
185,29.28333,89.21667,3,Wensa,དབེན་ས།
188,,,5,Garmo Chodzong,མགར་མོ་ཆོས་རྫོང་།
190,29.65594,91.13431,3,Gyume,རྒྱུད་སྨད།
191,,,5,Riwo Gepel,རི་བོ་དགེ་འཕེལ།
192,,,5,Gangchen Chopel,གངས་ཅན་ཆོས་འཕེལ།
195,29.10399,91.72359,5,Tangpoche,ཐང་པོ་ཆེ།
197,29.66667,89.13333,5,Zhangzhong Dorjeden,ཞང་ཞོང་རྡོ་རྗེ་གདན།
198,29.18541,92.00526,5,Chekar Chode,འཆད་དཀར་ཆོས་སྡེ།
199,29.881093,91.211952,5,Langtang,གླང་ཐང་།
200,,,5,Khyungpo,ཁྱུང་པོ།
201,,,5,Gyu,རྒྱུས།
203,,,5,Zira,བཟི་ར།
205,,,5,Rashuk,ར་ཤུག།
206,32.347915,101.176175,1,Dzamtang,ཛམ་ཐང་།
207,31.80562234,98.58336378,1,Gonchen,དགོན་ཆེན།
208,32.34874,101.19215,5,Tsechu Monastery,ཚེས་བཅུ།
209,32.352307,101.174029,5,Choje Monastery,ཆོས་རྗེ་།
210,32.34874,101.16215,5,Tsangwa Monastery,གཙང་བ།
212,36.22274,101.68427,4,Old Ditsa,དྷི་ཚ།
214,33.89773,96.52142,5,Ba,འབའ།
215,31.827603,96.913696,2,Karma Gon,ཀརྨ་དགོན།
216,29.97411,90.97760,3,Gyel Lhakhang,རྒྱལ་ལྷ་ཁང་།
218,31.37117,96.50273,5,Riwoche,རི་བོ་ཆེ།
219,,,5,Riwoche Yanggon,རི་བོ་ཆེ་ཡང་དགོན།
224,29.92141,91.19951,5,Poto,པོ་ཏོ།
