person_id,tbrc_id,default_name,tradition_id
13562,P8LS4347,"Lhagyari Tobjor Wangchuk",1
13563,P8LS4348,"Lhagyari Jigme Wangchuk",1
13564,P8LS4349,"Lhagyari Kelzang Nyendrak",1
13597,P1AG112,"Dawo Wangmo",1
13648,P8LS76445,"Sindrang Yab Gomchen Dorje Lopen Chewang Rinzin Tagchungdarpa",1
13650,P8LS76447,"Drubtob Pema Trinle",1
13653,P8LS76438,"Jamyang Chokyi Wangpo",1
13659,P3JT12060,"Tokden Orgyen Tenzin",1
13688,P8LS76439,"Khamtrul Sherab Mebar",1
13692,P8LS76436,"Konchok Peldron",1
13699,P8LS76451,"Ngawang Jampel Rinchen",1
13700,P8LS76450,"Dorje Sengge",1
5897,P3546,"Amdo Geshe Jampel Rolpai Lodro",1
9047,P6455,"Pema Kunzang Rangdrol",1
12171,P9371,"Lobzang Dorje",1
10093,P743,"Botrul Dongak Tenpai Nyima",1
8539,P5971,"Gyelse Sonam Deutsen",1
8610,P6035,"Jikdrel Chokyi Langpo",1
8892,P6310,"Karma Gyurme Ngedon Tendzin",1
11246,P8523,"Karma Tashi",1
13689,P1KG9680,"Chime Rigdzin",1
4272,P2561,"Jigme Puntsok Jungne",1
6982,P4536,"Ngawang Sanggye Pelzang",1
10415,P7735,"Tenzin Trinle Wangchuk",1
10414,P7734,"Tubten Wosel Tenpai Nyima",1
2996,P169,"Konchok Jigme Wangpo",1
13122,P2AG30,"Jigme Drodon Dorje",1
8631,P6054,"Chopa Lugu",1
3006,P1699,"Ngari Paṇchen Pema Wanggyel",1
11426,P8687,"Tubten Nyinje Gyeltsen",1
11488,P8744,"Pema Sheja",1
2997,P1690,"Tenzin Norbu",1
13747,,"Chime Dorje",1
13749,,"Tersey Tulku",1
11231,P851,"Chogyam Trungpa",1
13750,,"Tashi Chime",1
8474,P5910,"Machik Kunga Bum",1
13748,,"Lama Sangngak",1
13187,P10MS14671,"Tsewang Lhamo",1
13787,,"Sonam Sengge Wangchuk",1
13152,P3AG42,"Jikdrel Tsewang Dorje",1
5644,P3312,"Machik Labdron",1
13811,,"Lama Gyurdrak",1
13812,,"Pelling Ani Wangdzin",1
12981,P3JM56,"Pema Gargyi Wangchuk",1
5120,P2JM397,"Tenzin Chozang",1
9612,P698,"Do Khyentse Yeshe Dorje",1
13817,,"Gonpo Wanggyel",1
10320,P7645,"Karma Wangdzin",1
7582,P5083,"Pema Norbu",1
13810,,"Lama Dribdel",1
13686,P9904,"Samten Gyatso",1
13837,,"Drubgyud Tulku",1
9895,P724,"Khenpo Ngawang Pelzang",1
9355,P6744,"Pema Vajra",1
10457,P7774,"Khenpo Jigme Puntsok",1
12839,P9901,"Tulku Urgyen",1
8177,P5636,"Nyoshul Khenpo Jamyang Dorje",1
8825,P625,"Dilgo Khyentse Tashi Peljor",1
3307,P197,"Tubten Gyatso",1
8972,P6387,"Lekshe Chokyi Drayang",1
11428,P8689,"Yilhung Sonam Namgyel",1
5099,P2JM378,"Pema Tsewang Gyatso",1
8584,P6011,"Wosel Dorje Nyingpo",1
8580,P6008,"Choying Dorje",1
2118,P5987,"Kunzang Ngedon Wangpo",1
8562,P5992,"Jigme Rigdzin Gonpo",1
8630,P6053,"Pelden Dorje",1
11258,P8535,"Jampel Dorje",1
8603,P6029,"Zhenpen Dorje",1
10673,P7986,"Kunzang Tenpai Nyinje",1
11487,P8743,"Rigdzin Zangpo",1
10678,P7990,"Kunzang Jampa Sengge",1
8567,P5997,"Drodul Tobden Lingpa",1
13157,P3AG52,"Gyakob Tulku Kunzang",1
5115,P2JM392,"Wozer Taye",1
10676,P7989,"Tubten Lodro Chokyi Gyeltsen",1
13533,P1AG87,"Yangchen Drolma",1
13612,P1AG114,"Kunzang Chokyi Drolma",1
3627,P1PD76599,"Khaying Drolma",1
10301,P7628,"Pema Ledrel Tsel",1
13860,,"Karma Zopa Zangpo",1
13868,,"Tenzin Gyatso",1
13654,P8LS76435,"Jamyang Khyentse Chokyi Wangchuk",1
5151,P2JM424,"Orgyen Samten",1
13843,P1TD122,"Tseten Yudron",1
2720,P1435,"Sonam Puntsok",1
7581,P5082,"Sanggye Tenpa",1
10019,P736,"Dudjom Rinpoche Jigdrel Yeshe Dorje",1
9688,P705,"Dudjom Lingpa",1
13617,P1KG9679,"Khordong Terchen Nuden Dorje",1
13788,P1TD59,"Chime Dolkar",1
13809,P1TD90,"Tsering Wangmo",1
13850,P1TD74,"Khandro Bumo Trinle Peldron",1
13815,P1TD67,"Delok Dawa Drolma",1
13819,P1TD82,"Kunzang Wangmo",1
13820,P1TD80,"Kunzang Dechen",1
13828,P1TD70,"Gyarong Khandro Dechen Wangmo",1
13879,,"Khordong Choktrul Gyurme Dorje",1
13878,,"Pema Chozin",1
13877,,"Pema Chodzom",1
13566,P1TD28,Semarkar,1
13773,P4CZ10542,"Gelongma Pelmo",1
8750,P6164,"Dorje Lingpa",1
8891,P631,"Guru Jober",1
9,P00AG0428,Mandāravā,1
8857,P628,"Melong Dorje",1
7442,P4956,Padmasambhava,1
1754,P1021,"Trulzhik Sengge Gyabpa",1
8923,P634,"Zhangton Tashi Dorje",1
8986,P64,"Tsongkhapa Lobzang Drakpa",1
4425,P270,"Patrul Rinpoche",1
8753,P6168,"Jamyang Sherab Chokyi Nangwa",1
11245,P8522,"Karma Lhawang",1
4691,P2943,"Gyurme Tsewang Chokdrub",1
9105,P651,"Dudul Dorje",1
3436,P1GS138134,"Losel Drolma",1
10647,P7962,"Tsade Zhanakpa Namkha Dorje",1
8592,P6019,"Tsewang Rigdzin Gyatso",1
7254,P4782,"Gyurme Tenpa Namgyel",1
2992,P1686,"Longsel Nyingpo",1
12982,P3JM57,"Polu Khenpo Dorje",1
3417,P1GS124509,"Meban Rinchen Lingpa",1
9083,P6489,"Apang Terton",1
11277,P8552,"Tashi Puntsok",1
13884,,"Gyurme Tenpa Gyeltsen",1
9985,P5011,Vimalamitra,1
13697,P1TD226,"Tsering Chodron",1
13883,P3CN8621,"Delok Tenzin Chodron",1
13885,,"Orgyen Tsomo",1
12980,P3JM55,"Tromge Tulku Arik",1
9935,P728,"Tubten Chowang Nyamnyi Dorje",1
4611,P287,"Shabkar Tsokdruk Rangdrol",1
9469,P685,"Kunzang Dechen Gyelpo",1
5999,P364,"Nyangrel Nyima Wozer",1
8181,P564,"Chokgyur Lingpa",1
4291,P258,"Jamyang Khyentse Wangpo",1
7895,P538,"Kunga Gyatso",1
6257,P3874,"Sabzang Pakpa Zhonnu Lodro",1
3121,P1801,"Dungtso Repa The Earlier",1
8472,P5909,"Dungtso Repa The Later",1
9278,P6672,"Namkhai Norbu",1
7767,P5254,"Rigdzin Godemchen",1
3004,P1697,"Tennyi Lingpa",1
10298,P7625,"Gyelse Lekpa",1
4935,P2JM196,"Gyelse Zopa",1
4043,P2349,Kumāradza,1
13588,P2KT11,"Danzan Ravjaa",1
13894,,"Dekyi Chodron",1
6726,P4301,"Rokben Sherab Wo",1
2589,P1314,"Katokpa Dampa Deshek",1
2806,P1514,"Kodrakpa Sonam Gyeltsen",1
5500,P318,"Go Lotsāwa Zhonnu Pel",1
9990,P733,"Jamyang Khyentse Chokyi Lodro",1
23,P00EGS1016642,Ratnākaraśānti,4
1728,P10185,"Pelchok Dangpo Dorje",4
1831,P1028,"Ga Rabjampa Kunga Yeshe",4
2104,P1053,"Lotsāwa Chokden Lekpai Lodro",4
2483,P1219,"Kyoton Monlam Tsultrim",4
2577,P1303,"Drakpa Sherab",4
2578,P1304,"Zeu Drakpa Tsondru",4
2591,P1316,"Neuzurpa Yeshe Bar",4
2592,P1317,"Drubchen Namkha Gyeltsen",4
2593,P1318,"Shupu Namkha Sengge",4
2598,P1322,"Gonpawa Wangchuk Gyeltsen",4
2638,P136,"Duldzinpa Takmapa Kawa Darseng",4
2683,P1400,"Dusum Khyenpa",4
2791,P1500,"Tsonawa Sherab Zangpo",4
2845,P155,"Buton Rinchen Drub",4
2854,P1558,"Dondrub Rinchen",4
2882,P1583,"Longchenpa Drime Wozer",4
2891,P1591,"Duldzin Drakpa Gyeltsen",4
3168,P1844,"Gampopa Sonam Rinchen",4
3736,P207,Vanaratna,4
3744,P2077,"Jampel Gyatso",4
3753,P2085,"Pang Lotsāwa Lodro Tenpa",4
3759,P2090,"Gotsangpa Gonpo Dorje",4
3762,P2093,"Sherab Sengge",4
3957,P2271,"Droton Dutsi Drakpa",4
4261,P2551,"Ngok Lotsāwa Loden Sherab",4
4267,P2557,"Dromton Gyelwa Jungne",4
4359,P2640,"Sanggye Gompa Sengge",4
5555,P3229,"Nartangpa Tsultrim Gyeltsen",4
5717,P3379,"Atiśa Dīpaṃkara",4
5750,P3408,"Bakton Zhonnu Tsultrim",4
5786,P3442,"Potowa Rinchen Sel",4
5790,P3446,"Tumton Lodro Drakpa",4
5791,P3447,"Chekhawa Yeshe Dorje",4
5801,P3456,"Naktso Lotsāwa Tsultrim Gyelwa",4
5803,P3458,"Go Khukpa Lhetse",4
5817,P3470,"Lhodrak Namkha Gyelpo",4
5818,P3471,"Lhodrak Sengge Zangpo",4
5819,P3472,"Lhodrak Gyelse Zangpo",4
5820,P3473,"Chennga Tsultrim Bar",4
5822,P3475,"Jayulwa Zhonnu Wo",4
6037,P3674,"Ga Lotsāwa Zhonnu Pel",4
6159,P3785,"Parpuwa Lodro Sengge",4
6194,P3816,"Rongzom Chokyi Zangpo",4
6264,P3880,"Lobsang Jamyang",4
6275,P3890,"Gorub Lotsāwa Chokyi Sherab",4
6285,P39,"Khyungpo Neljor",4
6351,P396,"Shākya Chokden",4
6393,P3998,"Chokyi Lama",4
6441,P404,"Tolungpa Rinchen Nyingpo",4
6452,P405,"Puchungwa Zhonnu Gyeltsen",4
6491,P4088,"Doton Sherab Drakpa",4
6587,P4177,"Sumpa Yeshe Lodro",4
6733,P4308,"Tsur Lotsāwa Yeshe Jungne",4
6735,P431,"Rongton Sheja Kunrik",4
6895,P4456,"Zhangtsun Dorje Wozer",4
7053,P460,"Ngawang Kunga Rinchen",4
7090,P4633,"Rinchen Namkha Dorje",4
7093,P4636,"Lodro Tenpa",4
7113,P4654,"Tsen Khawoche",4
7114,P4655,"Drapa Ngonshe",4
7373,P4892,"Chegompa Sherab Dorje",4
8027,P55,"Khedrubje Gelek Pelzang",4
8460,P5899,"Khyungtsangpa Yeshe Lama",4
8571,P60,"Rendawa Zhonnu Lodro",4
8730,P6145,"Dromton Zhonnu Lodro",4
8754,P6169,"Dongak Tendzin",4
9095,P65,"Gyeltsabje Darma Rinchen",4
9213,P661,"Tenpai Gyeltsen",4
9482,P2251,"Kunpang Chodrak Pelzang",4
10168,P75,"Khedrub Norzang Gyatso",4
10199,P753,"Rinchen Zangpo",4
10573,P7894,"Tsangton Dorje Gyeltsen",4
10579,P79,"Taktsang Lotsāwa Sherab Rinchen",4
10649,P7964,"Kunga Bum",4
10687,P80,"Gendun Drub",4
10892,P8194,Padmakaravarma,4
10982,P8278,"Gewai Lodro",4
11056,P8344,"Lha Lama Yeshe Wo",4
13073,P1AG39,"Chennga Sonam Zangpo",4
13199,P2CZ7866,"Nyima Gyeltsen",4
13542,P8LS4342,"Lhagyari Ganden Pelbar",4
3153,P1830,"Gyelse Tokme Zangpo",4
6076,P3709,"Pakpa Sherab",4
6214,P8224,"Vajrāsana the latter",4
3006,P1699,"Ngari Paṇchen Pema Wanggyel",4
2181,P1060,"Chim Namkha Drak",4
13540,P1AG88,"Lhai Metok",4
5644,P3312,"Machik Labdron",4
10319,P7644,"Lingza Chokyi",4
13773,P4CZ10542,"Gelongma Pelmo",4
2810,P1518,Śākyaśrībhadra,4
7326,P4849,Smṛtijñānakīrti,4
8986,P64,"Tsongkhapa Lobzang Drakpa",4
13183,P8LS12003,"Takleb Jangchub Gyeltsen",4
13234,P11MS255,"Lobpon Tsangpa Jamseng",4
13706,,"Jetsun Khacho Wangmo",4
5626,P3296,Buddhaśrī,4
6257,P3874,"Sabzang Pakpa Zhonnu Lodro",4
2539,P127,"Pakmodrupa Dorje Gyelpo",4
2589,P1314,"Katokpa Dampa Deshek",4
3890,P2210,"Gurawa Tsultrim Dorje",4
4114,P2413,"Puntsok Pelzang",4
8,P00AG0401,"Pelden Chime Takpai Dorje",7
726,P0RK1485,"Paṇchen Namkha Pelzang",7
1029,P0RK27,"Khenchen Sonam Pel",7
1035,P0RK28,"Khenchen Tashi Tsultrim",7
1370,P8218,"Khon Lui Wangpo",7
1726,P10183,"Sumpa Lotsāwa Darma Yonten",7
1728,P10185,"Pelchok Dangpo Dorje",7
1820,P1027,"Muchen Sanggye Rinchen",7
1831,P1028,"Ga Rabjampa Kunga Yeshe",7
1898,P1034,"Muchen Sempa Chenpo Konchok Gyeltsen",7
1908,P1035,"Drakpa Dorje",7
1930,P1037,"Pelden Dorje",7
1963,P1040,"Kunga Wangchuk",7
1974,P1041,"Kunga Wangchuk",7
1985,P1042,"Gorampa Sonam Sengge",7
2029,P1046,"Shongton Dorje Gyeltsen",7
2051,P1048,"Pakpa Lodro Gyeltsen",7
2069,P10497,"Rinchen Dorje",7
2104,P1053,"Lotsāwa Chokden Lekpai Lodro",7
2137,P1056,"Sakya Paṇḍita Kunga Gyeltsen",7
2203,P1062,"Zhangton Konchok Pel",7
2280,P1069,"Yeshe Rinchen",7
2314,P1072,"Rinchen Gyeltsen",7
2336,P1AG72,"Kunga Puntsok",7
