community_id,person_id
38,"29; 1637; 1901; 2327; 2328; 2330; 2339; 2399; 2436; 2462; 2506; 2758; 2787; 2912; 2949; 3008; 3040; 3064; 3085; 3107; 3225; 3307; 3758; 3782; 3866; 3877; 3955; 3989; 4092; 4141; 4259; 4285; 4314; 4535; 4730; 5317; 5338; 5805; 5849; 5871; 5897; 6009; 6065; 6110; 6161; 6286; 6470; 6535; 6536; 6670; 6746; 6874; 6910; 6935; 6953; 6997; 7007; 7107; 7162; 7232; 8103; 8986; 9062; 9126; 9213; 9254; 9839; 9873; 10579; 11114; 11131; 11437; 11565; 11731; 12096; 12828; 12883; 13026; 13168; 13182; 13423; 13519; 13596; 13625; 13628; 13652; 13683; 13694; 13708; 13725; 13737; 13740; 13743; 13744; 13822"
909,"5461; 6646"
543,10623
275,"1985; 3004; 3152; 3736; 7370; 9213; 10528; 13721"
82,"61; 620; 2561; 2584; 2595; 2606; 2774; 2789; 2899; 3010; 3890; 3902; 3903; 3904; 3906; 3936; 3939; 5997; 6134; 6138; 6147; 6405; 6578; 6721; 7038; 7040; 7637; 8181; 8964; 9171; 10093; 10536; 10824; 11299; 12405; 13230; 13232; 13233; 13236; 13237; 13238; 13239; 13240; 13242; 13429; 13430; 13431; 13432; 13433; 13434; 13435; 13436; 13437; 13438; 13439; 13440; 13442; 13443; 13445; 13446; 13447; 13448; 13450; 13613; 13625; 13821"
1693,13855
1466,"7442; 8181"
1023,3989
255,6770
1282,1869
938,13186
350,5796
838,"4265; 5426"
373,"1871; 6161"
404,"29; 4285; 9750; 13106; 13107; 13108; 13109; 13110"
1017,8782
1236,"11865; 11909"
145,6671
1747,12980
323,"2819; 4492; 13113"
1561,"9289; 13722; 13725"
1694,13855
1526,13687
936,"10591; 13186"
1718,10019
1730,13884
1716,10019
1564,13707
1089,13540
1256,"13121; 13123; 13124"
1714,10019
1171,"4185; 4425; 9579; 13819"
954,"8538; 8551; 12980"
1755,9278
206,"1869; 4358; 7272; 8752; 11632; 11731"
976,7272
1284,11741
1114,5641
1496,"12741; 13248; 13679"
829,"4276; 5706; 6874; 8354"
12,"2069; 2992; 3020; 3436; 3485; 4185; 4228; 4272; 4358; 4425; 4622; 4659; 4676; 4691; 4986; 4987; 5024; 5041; 5044; 5048; 5078; 5099; 5115; 5117; 5120; 5121; 5164; 5166; 6470; 6668; 7551; 7559; 7581; 8181; 8507; 8538; 8574; 8578; 8782; 8825; 9047; 9126; 9203; 9213; 9278; 9355; 9383; 9525; 9546; 9579; 9585; 9588; 9589; 9593; 9594; 9601; 9612; 9622; 9646; 9884; 9895; 10068; 10093; 10146; 10169; 10355; 10412; 10413; 10414; 10415; 10617; 10827; 10828; 10832; 11426; 11427; 11432; 11435; 11443; 11444; 11445; 11487; 11488; 11489; 11491; 11741; 12553; 12906; 12980; 13148; 13149; 13150; 13151; 13152; 13162; 13163; 13178; 13181; 13204; 13654; 13659; 13679; 13688; 13850"
1335,"4425; 9585; 11488"
397,"2788; 7170; 7881"
1255,4358
1603,"12479; 13790"
1499,12741
1313,4358
1536,"12839; 13749"
497,"2469; 6635; 13201; 13202; 13203"
180,"4228; 4291; 4358; 4820; 8181; 8507; 8536; 8538; 9047; 9278; 9594; 9622; 9990; 10355; 10815; 11231; 11385; 11741; 12180; 12500; 13139; 13455; 13533; 13653; 13654; 13677; 13697; 13702; 13747; 13749; 13795; 13811"
989,"4291; 4358; 8181; 12180"
1497,13679
424,9062
1164,"6489; 10536; 11488"
1419,7305
1204,"7069; 13588"
370,"6738; 8964"
1187,"8825; 11385"
511,1831
823,"5693; 8986"
1464,"4820; 10355; 13654"
1404,"9278; 9594; 13654"
971,3165
1280,11437
36,"1637; 1852; 2327; 2328; 2418; 2456; 2462; 2523; 2814; 2819; 2871; 2872; 2912; 2952; 3107; 3171; 3173; 3307; 3762; 3782; 3989; 4092; 4141; 4206; 4228; 4259; 4265; 4276; 4277; 4278; 4279; 4280; 4282; 4314; 4487; 4488; 4489; 4490; 4492; 4493; 4494; 4495; 4496; 4497; 4498; 4499; 4500; 4535; 4669; 5317; 5371; 5381; 5415; 5480; 5485; 5490; 5706; 5777; 5796; 5805; 5849; 5871; 5901; 5932; 5953; 6219; 6286; 6340; 6466; 6493; 6498; 6526; 6648; 6690; 6746; 6793; 6872; 6910; 6953; 6978; 6979; 6997; 7083; 7093; 7182; 7230; 7294; 7305; 7743; 7870; 8027; 8086; 8097; 8099; 8105; 8106; 8107; 8108; 8109; 8986; 9049; 9050; 9051; 9053; 9055; 9056; 9057; 9058; 9059; 9062; 9083; 9095; 9213; 9254; 9795; 9839; 9873; 10480; 10687; 11131; 11731; 12817; 12883; 13502; 13519"
1477,"7007; 8156"
1559,5805
315,"1564; 2327; 2456; 2523; 2814; 2871; 2872; 2952; 4265; 4277; 4278; 4282; 4488; 4492; 4494; 4496; 4499; 4524; 5415; 5490; 5901; 5932; 5953; 6498; 6729; 6872; 7083; 7182; 7230; 7870; 8107; 8108; 8109; 9050; 9053; 9055; 9795; 10957; 12817"
1206,2662
530,5338
1475,7007
345,5729
319,"2787; 2819; 4092; 4206; 4276; 4279; 4280; 4309; 4487; 4489; 4493; 4495; 4497; 4498; 4500; 4727; 5371; 5490; 5706; 6466; 6648; 6978; 7007; 7743; 8086; 8097; 8105; 8106; 8612; 9049; 9051; 9056; 9057; 9058; 9059; 9753; 11131"
540,2330
363,13507
454,5897
1474,7007
192,"2427; 12521"
1303,"2882; 3152; 5024; 11741; 12980; 13811"
382,"3000; 4379; 4478; 13133; 13142; 13143; 13145; 13146"
465,4607
1013,"8624; 9190; 13511"
188,"12883; 13026"
1469,7007
476,"3107; 6099; 6499; 9693; 13226"
481,6045
1535,"12839; 13861"
1681,11437
444,"9593; 10093; 11741"
522,5099
422,"9601; 13162; 13163"
1182,9622
1602,"12479; 13790; 13791"
356,"2926; 4494; 7170"
842,"1637; 6548; 6646"
1706,3417
399,"3977; 4665"
421,"2118; 4691; 7254; 8618; 9579; 9895; 10673; 10676; 10678; 12980; 13884"
97,4115
1715,10019
1524,13687
1211,"10018; 11278"
509,9929
615,"4249; 5408; 11285; 13863"
389,4372
156,"2409; 2436; 2441; 2442; 2506; 2755; 2996; 3008; 3107; 3141; 3225; 3296; 3758; 4665; 4730; 5410; 5436; 5490; 5729; 5899; 5902; 6161; 6526; 6586; 6646; 8861; 9690; 9873"
835,9703
1351,4358
392,"8343; 8355; 11352"
1752,9935
149,3759
1682,11437
516,9052
1491,12553
227,3168
1254,"5490; 6529"
1399,8354
1075,"11796; 12865; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559"
1369,"13628; 13683"
432,"8578; 13828"
1198,"1974; 11285"
216,"2683; 6452"
837,"4267; 4497; 6286; 13724"
1621,13810
1015,9546
1677,9895
369,"5901; 13666"
958,"3744; 8354"
1185,9523
551,7294
190,"1564; 2327; 2418; 2442; 2456; 2523; 2755; 2814; 2872; 2974; 3171; 3173; 3762; 3792; 4277; 4279; 4282; 4488; 4494; 4496; 4499; 4501; 5317; 5415; 5480; 5485; 5729; 5777; 5796; 5932; 5953; 6498; 6526; 6622; 6646; 6670; 6872; 7182; 7230; 7565; 7870; 8106; 8107; 8108; 9053; 9055; 9058; 9062; 9213; 9795; 12521"
316,"2419; 2819; 2952; 3307; 3743; 3877; 3989; 4206; 4276; 4278; 4280; 4309; 4487; 4489; 4490; 4492; 4493; 4495; 4497; 4498; 4500; 5371; 5381; 5432; 5652; 5706; 5901; 6466; 6648; 6978; 6979; 7007; 7743; 8086; 8105; 8109; 8612; 9049; 9050; 9051; 9056; 9057; 9059; 9213; 11131; 12817"
233,10536
1229,5317
232,"7803; 10536; 13825"
1348,"303; 4358"
1539,12839
729,2424
520,5099
947,"3307; 4302; 7069; 7162; 13510; 13588"
1370,13628
1732,13884
1413,13652
358,"2506; 2788; 2854; 2948; 2996; 3296; 4496; 5415; 5490; 5706; 6161; 6526; 7169; 13176"
1005,5871
1591,12479
408,4727
158,"2539; 7636; 12839; 13836; 13837; 13838; 13839; 13840; 13841; 13861; 13862"
575,"3762; 12828"
136,10687
1554,1659
1109,8754
1673,9895
1722,10019
271,6793
1500,12479
518,11603
1545,13694
1574,"10355; 12479"
246,"3671; 4164"
1688,10019
1136,6037
90,"1869; 2491; 2670; 2712; 2790; 2801; 2812; 2943; 3936; 3937; 3938; 3940; 4085; 4113; 4115; 4119; 4166; 4167; 4168; 4170; 5408; 6257; 6278; 6874; 9030; 9482; 9634; 11183; 11307; 11632; 11731; 13064; 13065"
470,4228
471,4228
76,6547
