"Place Name",community_id,person_id
Drotsang,373,"1871; 6161"
Drugu,404,"29; 4285; 9750; 13106; 13107; 13108; 13109; 13110"
"Drugu Gon",1017,8782
"Druk Jangchub Choling",1236,"11865; 11909"
"Druk Monastery",145,6671
Drukto,1747,12980
Drula,323,"2819; 4492; 13113"
"Drumpa Manor House",1561,"9289; 13722; 13725"
"Drumpa Monastery",1694,13855
Dubdi,1526,13687
"Ducho Labrang",936,"10591; 13186"
"Dudjom Gonpa  ",1718,10019
"Dudjom Namdrol Choling",1730,13884
"Dundul Rabtenling",1716,10019
Dungdo,1564,13707
Dungkar,1089,13540
"Dungsam Riwo Tengyeling",1256,"13121; 13123; 13124"
"Durpin Monastery",1714,10019
Dzagyel,1171,"4185; 4425; 9579; 13819"
Dzaka,954,"8538; 8551; 12980"
"Dzamling Gar",1755,9278
Dzamtang,206,"1869; 4358; 7272; 8752; 11632; 11731"
"Dzamtang Gepel Hermitage",976,7272
"Dzato Changmai Monastery",1284,11741
Dzigar,1114,5641
"Dzinda Neseb",1496,"12741; 13248; 13679"
Dzingchi,829,"4276; 5706; 6874; 8354"
"Dzogchen Monastery",12,"2069; 2992; 3020; 3436; 3485; 4185; 4228; 4272; 4358; 4425; 4622; 4659; 4676; 4691; 4986; 4987; 5024; 5041; 5044; 5048; 5078; 5099; 5115; 5117; 5120; 5121; 5164; 5166; 6470; 6668; 7551; 7559; 7581; 8181; 8507; 8538; 8574; 8578; 8782; 8825; 9047; 9126; 9203; 9213; 9278; 9355; 9383; 9525; 9546; 9579; 9585; 9588; 9589; 9593; 9594; 9601; 9612; 9622; 9646; 9884; 9895; 10068; 10093; 10146; 10169; 10355; 10412; 10413; 10414; 10415; 10617; 10827; 10828; 10832; 11426; 11427; 11432; 11435; 11443; 11444; 11445; 11487; 11488; 11489; 11491; 11741; 12553; 12906; 12980; 13148; 13149; 13150; 13151; 13152; 13162; 13163; 13178; 13181; 13204; 13654; 13659; 13679; 13688; 13850"
"Dzogchen Yamāntaka Cave",1335,"4425; 9585; 11488"
"Dzoge Monastery ",397,"2788; 7170; 7881"
Dzogon,1255,4358
"Dzong Chode",1603,"12479; 13790"
Dzonggo,1499,12741
Dzonggo,1313,4358
"Dzonggo Ling",1536,"12839; 13749"
"Dzongkar Monastery",497,"2469; 6635; 13201; 13202; 13203"
Dzongsar,180,"4228; 4291; 4358; 4820; 8181; 8507; 8536; 8538; 9047; 9278; 9594; 9622; 9990; 10355; 10815; 11231; 11385; 11741; 12180; 12500; 13139; 13455; 13533; 13653; 13654; 13677; 13697; 13702; 13747; 13749; 13795; 13811"
Dzongsho,989,"4291; 4358; 8181; 12180"
"Dzonyak Samdrub",1497,13679
"E Rigo Chode ",424,9062
"Emei Shan",1164,"6489; 10536; 11488"
Ensa,1419,7305
"Erdene Zuu",1204,"7069; 13588"
"Evaṃ Monastery",370,"6738; 8964"
"Ga Benchen Monastery",1187,"8825; 11385"
"Ga Nyide",511,1831
Gadong,823,"5693; 8986"
"Gagu Hermitage",1464,"4820; 10355; 13654"
Galenteng,1404,"9278; 9594; 13654"
"Gampo Zanglung",971,3165
"Gandan Tegchenling",1280,11437
Ganden,36,"1637; 1852; 2327; 2328; 2418; 2456; 2462; 2523; 2814; 2819; 2871; 2872; 2912; 2952; 3107; 3171; 3173; 3307; 3762; 3782; 3989; 4092; 4141; 4206; 4228; 4259; 4265; 4276; 4277; 4278; 4279; 4280; 4282; 4314; 4487; 4488; 4489; 4490; 4492; 4493; 4494; 4495; 4496; 4497; 4498; 4499; 4500; 4535; 4669; 5317; 5371; 5381; 5415; 5480; 5485; 5490; 5706; 5777; 5796; 5805; 5849; 5871; 5901; 5932; 5953; 6219; 6286; 6340; 6466; 6493; 6498; 6526; 6648; 6690; 6746; 6793; 6872; 6910; 6953; 6978; 6979; 6997; 7083; 7093; 7182; 7230; 7294; 7305; 7743; 7870; 8027; 8086; 8097; 8099; 8105; 8106; 8107; 8108; 8109; 8986; 9049; 9050; 9051; 9053; 9055; 9056; 9057; 9058; 9059; 9062; 9083; 9095; 9213; 9254; 9795; 9839; 9873; 10480; 10687; 11131; 11731; 12817; 12883; 13502; 13519"
"Ganden (India)",1477,"7007; 8156"
"Ganden Chokhor Ling",1559,5805
"Ganden Jangtse College ",315,"1564; 2327; 2456; 2523; 2814; 2871; 2872; 2952; 4265; 4277; 4278; 4282; 4488; 4492; 4494; 4496; 4499; 4524; 5415; 5490; 5901; 5932; 5953; 6498; 6729; 6872; 7083; 7182; 7230; 7870; 8107; 8108; 8109; 9050; 9053; 9055; 9795; 10957; 12817"
"Ganden Mamo",1206,2662
"Ganden Mipam Choling",530,5338
"Ganden Pelgye Ling",1475,7007
"Ganden Rinchen Ling",345,5729
"Ganden Shartse College",319,"2787; 2819; 4092; 4206; 4276; 4279; 4280; 4309; 4487; 4489; 4493; 4495; 4497; 4498; 4500; 4727; 5371; 5490; 5706; 6466; 6648; 6978; 7007; 7743; 8086; 8097; 8105; 8106; 8612; 9049; 9051; 9056; 9057; 9058; 9059; 9753; 11131"
"Ganden Shedrub Ling",540,2330
"Ganden Shedrub Pekar Drolwai Ling",363,13507
"Ganden Tashi Choling",454,5897
"Ganden Tritok Khang (India)",1474,7007
"Gangchen Chopel",192,"2427; 12521"
"Gangri Tokar",1303,"2882; 3152; 5024; 11741; 12980; 13811"
"Gangteng Monastery ",382,"3000; 4379; 4478; 13133; 13142; 13143; 13145; 13146"
"Gangya Drakkar Gon",465,4607
Garje,1013,"8624; 9190; 13511"
"Garmo Chodzong",188,"12883; 13026"
"Garpa Ritro",1469,7007
Gartar,476,"3107; 6099; 6499; 9693; 13226"
"Gartse Tubten Chokhor Ling",481,6045
"Gechak Monastery",1535,"12839; 13861"
"Geden Sheddup Choikorling",1681,11437
Gegong,444,"9593; 10093; 11741"
"Gegyel Dzogchen",522,5099
Gemang,422,"9601; 13162; 13163"
"Gemang Ritro",1182,9622
Gemi,1602,"12479; 13790; 13791"
"Genden Chopeling",356,"2926; 4494; 7170"
"Gepel Hermitage",842,"1637; 6548; 6646"
Geri,1706,3417
"Geting Ganden Choling ",399,"3977; 4665"
"Getse Dralek",421,"2118; 4691; 7254; 8618; 9579; 9895; 10673; 10676; 10678; 12980; 13884"
Gharung,97,4115
"Ghoom Monastery",1715,10019
"Ghum Yiga Choeling",1524,13687
"Gojo Banak",1211,"10018; 11278"
"Gome Oseltang",509,9929
"Gongkar Chode",615,"4249; 5408; 11285; 13863"
"Gongto Sergyi Lhakhang ",389,4372
"Gonlung Jampa Ling",156,"2409; 2436; 2441; 2442; 2506; 2755; 2996; 3008; 3107; 3141; 3225; 3296; 3758; 4665; 4730; 5410; 5436; 5490; 5729; 5899; 5902; 6161; 6526; 6586; 6646; 8861; 9690; 9873"
Gonsar,835,9703
"Gontang Bumpa",1351,4358
"Gorina Kunang Osel Ling ",392,"8343; 8355; 11352"
Gotsa,1752,9935
"Gotsang Hermitage ",149,3759
"Green Tara Center",1682,11437
"Guru Pema Evaṁ Chokgar",516,9052
Guzi,1491,12553
"Gyachak Ri",227,3168
"Gyakhar Gar",1254,"5490; 6529"
"Gyama Rinchen Gang",1399,8354
"Gyari Castle",1075,"11796; 12865; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559"
"Gyarong Khamtsen",1369,"13628; 13683"
"Gyarong Takten Nampar Gyelwai Ling",432,"8578; 13828"
"Gyel Kartse Palace",1198,"1974; 11285"
"Gyel Lhakhang",216,"2683; 6452"
Gyelje,837,"4267; 4497; 6286; 13724"
"Gyelmo Murdo",1621,13810
"Gyelrong Ritro",1015,9546
Gyelse,1677,9895
"Gyeltang Sungtseling",369,"5901; 13666"
"Gyelteng Monastery",958,"3744; 8354"
"Gyelwa Sengge Ngaro Lhakhang",1185,9523
Gyere,551,7294
"Gyume Dratsang",190,"1564; 2327; 2418; 2442; 2456; 2523; 2755; 2814; 2872; 2974; 3171; 3173; 3762; 3792; 4277; 4279; 4282; 4488; 4494; 4496; 4499; 4501; 5317; 5415; 5480; 5485; 5729; 5777; 5796; 5932; 5953; 6498; 6526; 6622; 6646; 6670; 6872; 7182; 7230; 7565; 7870; 8106; 8107; 8108; 9053; 9055; 9058; 9062; 9213; 9795; 12521"
"Gyuto Dratsang",316,"2419; 2819; 2952; 3307; 3743; 3877; 3989; 4206; 4276; 4278; 4280; 4309; 4487; 4489; 4490; 4492; 4493; 4495; 4497; 4498; 4500; 5371; 5381; 5432; 5652; 5706; 5901; 6466; 6648; 6978; 6979; 7007; 7743; 8086; 8105; 8109; 8612; 9049; 9050; 9051; 9056; 9057; 9059; 9213; 11131; 12817"
Hanle,233,10536
"Hardong Khamtsen",1229,5317
Hemis,232,"7803; 10536; 13825"
"Hepo Ri",1348,"303; 4358"
"Hiraṇyavarṇa Mahāvihāra",1539,12839
"Horkhang Manor House",729,2424
"Horkor Gon",520,5099
"Ikh Khuree",947,"3307; 4302; 7069; 7162; 13510; 13588"
"Indo Tibetan Buddhist Cultural Institute",1370,13628
"Iron Knot Ranch",1732,13884
"Ivolginsky Datsan",1413,13652
"Jakhyung Monastery",358,"2506; 2788; 2854; 2948; 2996; 3296; 4496; 5415; 5490; 5706; 6161; 6526; 7169; 13176"
Jakrong,1005,5871
"Jamchen Lhakhang",1591,12479
"Jamyang Mawai Sengge Ling ",408,4727
"Jang Tana ",158,"2539; 7636; 12839; 13836; 13837; 13838; 13839; 13840; 13841; 13861; 13862"
Jangchen,575,"3762; 12828"
Jangchen,136,10687
"Jangchub Chokhor Ling",1554,1659
Janggang,1109,8754
"Jangkar Monastery",1673,9895
"Jangsa Gompa",1722,10019
"Japuk Dongak Dargye Ling",271,6793
"Jasa Lhakhang",1500,12479
Jazi,518,11603
"Jekhar Chode Gon",1545,13694
"Jetsun Sakya Center",1574,"10355; 12479"
"Joden Gendungang ",246,"3671; 4164"
"John Giorno Foundation",1688,10019
"Jomo Kharak",1136,6037
"Jonang Monastery",90,"1869; 2491; 2670; 2712; 2790; 2801; 2812; 2943; 3936; 3937; 3938; 3940; 4085; 4113; 4115; 4119; 4166; 4167; 4168; 4170; 5408; 6257; 6278; 6874; 9030; 9482; 9634; 11183; 11307; 11632; 11731; 13064; 13065"
"Jumohor Sangngak Choling",470,4228
"Junyung Hermitage",471,4228
"Jupu Monastery",76,6547
"Jyekundo Dondrub Ling",512,"1831; 2051; 3211; 4820; 8825; 9278; 10355; 10815; 12741; 13246; 13248; 13679"
"Ka-Nying Shedrub Ling",1504,"11385; 12839; 13820"
Kachok,1432,"3436; 10617"
"Kagyu Changchub Chuling",1457,12180
"Kagyu Droden Kunchab",1455,12180
"Kagyu Dzamling Kunchab",1454,12180
"Kagyu Dzong",1459,"11385; 12180"
"Kagyu Gonsar",1549,"9761; 9764; 13855; 13856; 13859"
"Kagyu Kunchab Chuling",1452,"11385; 12180"
"Kagyu Ling",1460,"11385; 12180"
"Kagyu Shenpen Kunchab",1458,"10355; 12180"
"Kagyu Thubten Chöling",1461,12180
"Kagyu Tsekchok Ling",1695,13859
Kailash,1084,"2733; 2758; 2789; 2806; 2899; 3178; 4611; 6526; 6671; 6681; 6856; 9278; 10536; 10546; 10644; 10835; 10961; 11385; 11741; 12403; 13086; 13139; 13174; 13230; 13232; 13740; 13743; 13787; 13883"
"Kak Chode",1601,12479
Kalapa,1052,4114
"Kamkam Monastery",1401,8354
"Kaṁpo Nenang",473,6489
Kanchendzonga,1396,13648
"Kandze Shedrub Norbu Ling",1608,3822
Karchen,407,4727
Kardza,1434,"3436; 3485; 3627; 9612; 10617"
"Karing Tashi Dargye Ling",504,2948
"Karma Chokhor Dechen Ling",1502,11385
"Karma Drubgyu Thargay Ling",1511,11385
"Karma Drupgyud Choeling",1512,11385
"Karma Gon",215,"1659; 2589; 2640; 2662; 2683; 2776; 4358; 5924; 5926; 5927; 5928; 8126; 8181; 8825; 9201; 10898; 11385; 12264; 13078; 13686"
"Karma Migyur Ling",1506,11385
"Karma Rimay O Sal Ling",1456,"11385; 12180"
"Karma Triyana Dharmachakra",1509,"10355; 11385"
"Karmê Chöling",1445,"11231; 11385"
Karsha,1423,"6076; 7305; 8156; 13823"
Karye,1723,"13877; 13878"
"Kathok Center",1739,13884
"Katog Ratna Ling",1740,13884
"Katog Rit'hröd",1735,13884
"Katog Tingdzin Ling",1734,13884
Katok,9,"2118; 2589; 2776; 2780; 2781; 2992; 3436; 4028; 4140; 4291; 4358; 4622; 4691; 5151; 7152; 7254; 7582; 7736; 8177; 8181; 8536; 8538; 8539; 8543; 8549; 8551; 8562; 8563; 8566; 8567; 8574; 8575; 8580; 8583; 8584; 8585; 8592; 8596; 8600; 8603; 8609; 8610; 8616; 8617; 8618; 8624; 8625; 8629; 8630; 8631; 8633; 9047; 9083; 9105; 9190; 9297; 9372; 9593; 9612; 9895; 9929; 9990; 10018; 10019; 10093; 10355; 10422; 10571; 10572; 10573; 10647; 10649; 10654; 10656; 10658; 10659; 10673; 10676; 10678; 12980; 12982; 13134; 13157; 13169; 13170; 13228; 13884"
"Katok Drakdong Ritro",1014,8624
"Katok Ritrö retreat center",1729,13884
"Katok Shedra Norbu Lhunpo",1173,9593
"Ke Mingyur Dorje Drak",1704,2992
"Kelzang Sanggye Choling Monastery",450,"4125; 11603; 13850"
Key,1414,7305
Khachar,1234,10497
"Khacho Deden",994,"2670; 4170; 11307"
"Khadro Ling",1642,12981
"Khagya Me Monastery",459,"5889; 6025; 7170; 13547"
"Khakyong Drak",961,7373
Khalek,1569,9047
"Kham Kyogon",703,13233
"Khamarin Khiid",1190,13588
"Khampa Gar",720,8825
"Khampa Gar (Tashi Jong)",1510,11385
"Khamshe Dargye Ling",445,"2069; 4820; 8507; 9278; 9593; 9622; 9990; 10355; 12180; 12500; 12553; 12742; 12743; 13707"
Khangmar,1243,2069
Khapung,1087,12100
Kharak,154,"3881; 6134"
"Kharchu Monastery",141,"2584; 4043; 8857; 9513; 11352; 13086"
"Khardo Hermitage",314,6175
"Kharta Tarpa Ling",834,2504
"Khawa Karpo",1083,"1659; 4028; 4291; 13109; 13139; 13659"
"Khawa Lungri",1291,8538
"Khemar Monastery",1244,8538
"Khordong Monastery",1316,"9945; 13617; 13688; 13689; 13810; 13817; 13879"
"Khoting Lhakhang",811,"4358; 5999"
Khyage,1091,"6353; 13547"
"Khyunggon Monastery",1265,9590
"Khyunglung Ngulkhar",1364,"6681; 10961; 13566"
"Khyungpak Tsang",263,13086
Khyungritang,1009,2784
Khyungtak,1633,"13697; 13811; 13828"
Kilung,1380,4622
Kīrti,413,"1852; 1901; 1903; 3049; 11569; 11575; 13168"
"Kīrti Namgyel Dechen Ling",484,"1575; 1901; 1902; 1903; 3049; 4196; 9703; 11569; 11575; 13168"
Kokonor,1142,"1871; 3883; 4611; 5871"
Kolri,1705,2992
"Kongpo Bonri",1258,"10961; 13188; 13221"
"Kongpo Chabkar",1037,9442
"Kumbum Jampa Ling",40,"2339; 2392; 2393; 2399; 2527; 2755; 2788; 2945; 2948; 2953; 2974; 2996; 3008; 3296; 3307; 3735; 3739; 3758; 3889; 4077; 5328; 5338; 5436; 5479; 5490; 5729; 5897; 5902; 6161; 6419; 6526; 7162; 7929; 8861; 8986; 9712; 9983; 12828; 13173; 13179; 13180; 13510; 13744"
"Kumbum Medical College",925,9712
"Kumbum Monastery",1175,"7641; 13572"
Kundeling,536,"4163; 4380; 5328; 10394"
"Kunga Choling",1194,7162
Kuntsar,1113,8754
"Kunzang Dechen Osel Ling",1453,"10355; 11385; 12180"
"Kunzang Odsal Palyul Changchub Choling ",1656,8972
"Kuso Togyel",1712,9083
"Kyangdur ",114,"2137; 11307"
Kyangtsang,1267,"10961; 13596"
"Kyichu Lhakhang ",393,8343
"Kyipuk Deden",995,"4170; 11307"
"Kyire School",1651,2424
"Kyoda Monastery",987,13078
