person_one_id,person_two_id
13625,10711
13747,13686
13748,13747
13748,13686
13748,13749
13748,13750
13749,13686
13749,13750
13749,13747
13750,13747
13750,13686
13773,13774
13787,11158
13787,10203
10203,11158
13802,11158
13802,13787
13802,10203
13170,2992
13809,13697
13708,2418
13708,3950
2917,1720
9612,3436
7254,8629
13877,5805
13878,5805
13878,13877
2094,2029
13915,3753
13916,4086
7839,13916
13917,6879
13919,12180
13545,13546
13545,13549
13545,13548
