TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
8,,432,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 545.</p>",545,MW19997,,,,,
8,,1216,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 594.</p>",594,MW19997,,,,,
8,,145,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 604.</p>",604,MW19997,,,,,
8,,571,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 610.</p>",610,MW19997,,,,,
8,,1199,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 634.</p>",634,MW19997,,,,,
8,,450,"<p>
<em>Dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 324-332.</p>",324-332,MW19997,,,,,
8,,282,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 466-471.</p>",466-471,MW19997,,,,,
8,,1056,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 512-517.</p>",512-517,MW19997,,,,,
8,,547,"<p>
<em>dKar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed.&nbsp;Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 177-181.</p>",177-181,MW19997,,,,,
8,,1250,"<p>
1995. <em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa,</em> Vol. 2. Reb gong pa &#39;jigs med bsam grub, ed. Pe cin: Krung go&#39;i bod kyi shes rig dpe skrun khang, p. 274.</p>",274,MW19997,,,,,
